index,start_frame,end_frame,sentence
0,0,150,My fellow citizens
1,150,555,"I stand here today humbled by the task before us, grateful for the trust you have bestowed,"
2,555,700,mindful of the sacrifices borne by our ancestors.
3,700,850,"I thank President Bush for his service to our nation,"
4,850,1150,as well as the generosity and cooperation he has shown throughout this transition.
5,1150,1360,Forty-four Americans have now taken the presidential oath.
6,1360,1580,The words have been spoken during rising tides of prosperity and the still waters of peace.
7,1580,1850,"Yet, every so often the oath is taken amidst gathering clouds and raging storms."
8,1850,2114,"At these moments, America has carried on not simply because of the skill or vision of those in high office,"
9,2114,2317,"but because We the People have remained faithful to the ideals of our forbearers,"
10,2317,2405,and true to our founding documents.
11,2405,2512,So it has been.
12,2512,2660,So it must be with this generation of Americans.
13,2660,2800,That we are in the midst of crisis is now well understood.
14,2800,3000,"Our nation is at war, against a far-reaching network of violence and hatred."
15,3000,3183,"Our economy is badly weakened, a consequence of greed and irresponsibility on the part of some,"
16,3183,3382,but also our collective failure to make hard choices and prepare the nation for a new age.
17,3382,3512,Homes have been lost; jobs shed; businesses shuttered.
18,3512,3640,Our health care is too costly; our schools fail too many;
19,3640,3857,and each day brings further evidence that the ways we use energy strengthen our adversaries and threaten our planet.
20,3857,4080,"These are the indicators of crisis, subject to data and statistics."
21,4080,4304,Less measurable but no less profound is a sapping of confidence across our land
22,4304,4606,"a nagging fear that America's decline is inevitable, and that the next generation must lower its sights."
23,4606,4735,Today I say to you that the challenges we face are real.
24,4735,4801,They are serious and they are many.
25,4801,4924, They will not be met easily or in a short span of time.
26,4924,5020," But know this, America — they will be met. "
